iter	Passed	Remaining
417	2743	3820
418	2749	3812
419	2755	3805
420	2761	3798
421	2767	3790
422	2773	3783
423	2779	3775
424	2785	3768
425	2791	3761
426	2797	3753
427	2802	3745
428	2809	3738
429	2814	3731
430	2820	3723
431	2826	3716
432	2832	3708
433	2837	3701
434	2844	3695
435	2850	3687
436	2856	3680
437	2863	3673
438	2869	3666
439	2875	3660
440	2889	3662
441	2895	3655
442	2901	3647
443	2907	3640
444	2913	3633
445	2919	3626
446	2925	3618
447	2931	3611
448	2937	3604
449	2943	3597
450	2949	3590
451	2955	3583
452	2961	3576
453	2967	3568
454	2974	3562
455	2980	3555
456	2986	3548
457	2992	3540
458	2997	3533
459	3003	3525
460	3009	3518
461	3014	3510
462	3021	3504
463	3027	3497
464	3033	3490
465	3040	3483
466	3045	3476
467	3051	3469
468	3058	3463
469	3064	3456
470	3072	3450
471	3078	3443
472	3085	3437
473	3090	3429
474	3096	3422
475	3103	3416
476	3109	3409
477	3115	3402
478	3122	3396
479	3128	3389
480	3136	3384
481	3142	3377
482	3148	3370
483	3155	3364
484	3161	3356
485	3168	3350
486	3174	3343
487	3179	3336
488	3186	3329
489	3192	3322
490	3198	3316
491	3204	3308
492	3210	3301
493	3216	3294
494	3222	3287
495	3227	3279
496	3234	3273
497	3239	3265
498	3245	3258
499	3252	3252
500	3258	3245
501	3264	3238
502	3271	3232
503	3276	3224
504	3283	3218
505	3289	3211
506	3296	3205
507	3302	3198
508	3307	3190
509	3314	3184
510	3320	3177
511	3327	3171
512	3334	3165
513	3341	3159
514	3348	3153
515	3355	3147
516	3362	3141
517	3369	3135
518	3377	3129
519	3384	3124
520	3391	3117
521	3398	3111
522	3404	3105
523	3411	3098
524	3417	3092
525	3424	3085
526	3433	3082
527	3439	3074
528	3445	3067
529	3451	3060
530	3457	3053
531	3463	3047
532	3469	3040
533	3475	3033
534	3482	3026
535	3488	3019
536	3495	3013
537	3502	3007
538	3510	3002
539	3516	2995
540	3524	2990
541	3531	2984
542	3538	2978
543	3546	2972
544	3553	2966
545	3560	2960
546	3567	2954
547	3574	2948
548	3581	2942
549	3587	2935
550	3594	2929
551	3600	2922
552	3606	2915
553	3612	2908
554	3618	2901
555	3623	2893
556	3629	2886
557	3635	2879
558	3642	2873
559	3648	2866
560	3654	2859
561	3660	2852
562	3666	2846
563	3672	2839
564	3678	2832
565	3683	2824
566	3689	2817
567	3696	2811
568	3702	2804
569	3708	2797
570	3714	2790
571	3720	2783
572	3726	2777
573	3732	2770
574	3739	2764
575	3746	2757
576	3752	2750
577	3758	2743
578	3764	2737
579	3770	2730
580	3776	2723
581	3782	2716
582	3788	2709
583	3795	2703
584	3800	2696
585	3806	2689
586	3812	2682
587	3818	2675
588	3824	2669
589	3830	2662
590	3836	2655
591	3842	2648
592	3848	2641
593	3854	2634
594	3860	2628
595	3867	2621
596	3873	2614
597	3879	2607
598	3885	2601
599	3891	2594
600	3897	2587
601	3904	2581
602	3910	2574
603	3917	2568
604	3923	2561
605	3929	2554
606	3935	2548
607	3941	2541
608	3947	2534
609	3954	2528
610	3960	2521
611	3967	2515
612	3972	2508
613	3979	2501
614	3985	2495
615	3991	2488
616	3997	2481
617	4003	2474
618	4010	2468
619	4016	2461
620	4022	2454
621	4028	2447
622	4034	2441
623	4040	2434
624	4046	2427
625	4053	2421
626	4059	2414
627	4065	2408
628	4071	2401
629	4077	2394
630	4085	2388
631	4090	2382
632	4096	2375
633	4102	2368
634	4108	2361
635	4115	2355
636	4121	2348
637	4128	2342
638	4134	2335
639	4140	2328
640	4146	2322
641	4151	2315
642	4157	2308
643	4163	2301
644	4169	2294
645	4175	2287
646	4181	2281
647	4187	2274
648	4193	2267
649	4199	2261
650	4205	2254
651	4211	2247
652	4218	2241
653	4224	2234
654	4230	2228
655	4236	2221
656	4242	2214
657	4248	2208
658	4255	2201
659	4261	2195
660	4268	2188
661	4274	2182
662	4281	2176
663	4287	2169
664	4293	2162
665	4299	2156
666	4306	2149
667	4313	2143
668	4321	2138
669	4328	2131
670	4335	2125
671	4342	2119
672	4348	2113
673	4354	2106
674	4361	2099
675	4367	2093
676	4373	2086
677	4379	2080
678	4385	2073
679	4392	2066
680	4397	2060
681	4403	2053
682	4410	2047
683	4416	2040
684	4422	2033
685	4428	2027
686	4434	2020
687	4440	2013
688	4446	2006
689	4452	2000
690	4459	1994
691	4465	1987
692	4471	1980
693	4477	1974
694	4483	1967
695	4488	1960
696	4494	1953
697	4500	1947
698	4506	1940
699	4514	1934
700	4520	1928
701	4526	1921
702	4532	1914
703	4538	1908
704	4544	1901
705	4550	1894
706	4557	1888
707	4563	1882
708	4569	1875
709	4576	1869
710	4581	1862
711	4587	1855
712	4593	1849
713	4599	1842
714	4606	1835
715	4611	1829
716	4617	1822
717	4624	1816
718	4630	1809
719	4635	1802
720	4642	1796
721	4648	1789
722	4655	1783
723	4660	1776
724	4665	1769
725	4672	1763
726	4678	1756
727	4684	1750
728	4690	1743
729	4696	1737
730	4702	1730
731	4709	1724
732	4715	1717
733	4721	1711
734	4727	1704
735	4732	1697
736	4738	1691
737	4744	1684
738	4750	1677
739	4757	1671
740	4763	1665
741	4769	1658
742	4776	1652
743	4782	1645
744	4789	1639
745	4794	1632
746	4801	1626
747	4806	1619
748	4812	1612
749	4819	1606
750	4824	1599
751	4830	1593
