iter	Logloss
177	0.4108508631
178	0.4108272095
179	0.4106479009
180	0.4105944748
181	0.4105136592
182	0.4104787394
183	0.4104265696
184	0.4103250504
185	0.4102512538
186	0.4101471125
187	0.4100877101
188	0.4100472056
189	0.4099259923
190	0.40985849
191	0.4097216034
192	0.4096026154
193	0.4094285456
194	0.4093630142
195	0.4092556941
196	0.4091628062
197	0.4090807826
198	0.4089158096
199	0.4087428436
200	0.4086255595
201	0.4085429382
202	0.408435997
203	0.40831928
204	0.4082631912
205	0.4082005132
206	0.4080964584
207	0.408034996
208	0.407926328
209	0.4078052368
210	0.4077648722
211	0.4076655324
212	0.4075037028
213	0.4074527003
214	0.4073910166
215	0.4073498179
216	0.4072665863
217	0.4071844762
218	0.4070605672
219	0.4069534429
220	0.4068785248
221	0.4067407354
222	0.406619957
223	0.4065913366
224	0.406438001
225	0.4063550568
226	0.4062572352
227	0.4061567586
228	0.4060587997
229	0.406021609
230	0.4059286423
231	0.4058701502
232	0.4058081411
233	0.4056923752
234	0.4056283849
235	0.4055538025
236	0.4055212453
237	0.4054431788
238	0.4053482005
239	0.4052505188
240	0.4051320775
241	0.405034284
242	0.4048944982
243	0.404754954
244	0.404630188
245	0.4045599264
246	0.4044828517
247	0.4043738403
248	0.4042509028
249	0.4041756032
250	0.4040573324
251	0.4039667842
252	0.4038537547
253	0.4037411219
254	0.4036546453
255	0.403513326
256	0.4033614909
257	0.4032541555
258	0.4031665573
259	0.4030500488
260	0.4029896139
261	0.4028514913
262	0.4026742172
263	0.4025791957
264	0.4024462357
265	0.4023340785
266	0.4022033997
267	0.4020985133
268	0.4020075277
269	0.4019502614
270	0.40186203
271	0.4017078222
272	0.4016067937
273	0.4015027847
274	0.4013969014
275	0.4012882589
276	0.4012017263
277	0.4010650304
278	0.400966507
279	0.4008739649
280	0.4007709732
281	0.400633611
282	0.4005397034
283	0.4004885178
284	0.4003999914
285	0.4003098094
286	0.4002205683
287	0.4000815608
288	0.3999831289
289	0.3998606262
290	0.3997751414
291	0.3996481069
292	0.3994778163
293	0.3993662491
294	0.3992700806
295	0.3991553218
296	0.3991013667
297	0.3989599635
298	0.3988956655
299	0.398840538
300	0.3987039719
301	0.3985902227
302	0.3984517975
303	0.3983958944
304	0.3982768224
305	0.3981690928
306	0.3980475896
307	0.3979271698
308	0.3978052343
309	0.3976233368
310	0.397522344
311	0.3973709234
312	0.3972588704
313	0.3971262512
314	0.3970133464
315	0.3969433695
316	0.39683343
317	0.3967442907
318	0.3966545385
319	0.3965611089
320	0.3964410451
321	0.3963180364
322	0.396197848
323	0.3960758031
324	0.3959893036
325	0.3958477351
326	0.3957620748
327	0.3956081467
328	0.3955383275
329	0.3954620285
330	0.3953738607
331	0.3953079885
332	0.3952390518
333	0.3951474965
334	0.3950794373
335	0.3949895503
336	0.3949237493
337	0.3948032608
338	0.3947453512
339	0.3946695862
340	0.3944849752
341	0.3943462753
342	0.3942611847
343	0.3941462377
344	0.3940664673
345	0.393958758
346	0.3939111023
347	0.3938057912
348	0.3937060064
349	0.3936036504
350	0.3935500132
351	0.3934512227
352	0.3933885905
353	0.3933223012
354	0.3931957448
355	0.3930385691
356	0.3930200933
357	0.3929079768
358	0.3928195496
359	0.3927065277
360	0.3926283722
361	0.392532191
362	0.3924038493
363	0.3923376745
364	0.3922417399
365	0.3921620636
366	0.3920673396
367	0.391978096
368	0.391881017
369	0.3917723211
370	0.391677948
371	0.3915726267
372	0.3914754944
373	0.3913314362
374	0.3912426605
375	0.3911851527
376	0.3910944544
377	0.3910543086
378	0.3909567566
379	0.3908726298
380	0.3907557704
381	0.3907037328
382	0.3905812988
383	0.3904240494
384	0.3903182526
385	0.390170016
386	0.3900580393
387	0.3899668172
388	0.3898840434
389	0.389789505
390	0.3896847051
391	0.3896008784
392	0.3894957631
393	0.3894148483
394	0.3893516719
395	0.389238917
396	0.3891140188
397	0.388980718
398	0.3888572133
399	0.3887869644
400	0.3887263794
401	0.3886251221
402	0.3885336405
403	0.388463623
404	0.3883966344
405	0.3882761205
406	0.3881701152
407	0.3880701192
408	0.3879784368
409	0.3878486099
410	0.3877563604
411	0.3876324717
412	0.3875334244
413	0.387454066
414	0.387376737
415	0.3872658157
416	0.3872071025
417	0.3871517792
418	0.3870667165
419	0.3869641037
420	0.3868654861
421	0.3867715658
422	0.3866785177
423	0.3865972493
424	0.3864904353
425	0.3864153392
426	0.3863253606
427	0.3862714895
428	0.3862056096
429	0.3861357676
430	0.3860329844
431	0.385960556
432	0.3858786163
433	0.3858213526
434	0.385773351
435	0.3856520157
436	0.3855516663
437	0.3854493128
438	0.38535333
439	0.3852877528
440	0.3851829274
441	0.3850286407
442	0.3849542491
443	0.3849500097
444	0.384795812
445	0.3847053299
446	0.3846144689
447	0.3845359802
448	0.3844169896
449	0.3843177312
450	0.3842844086
451	0.3842296575
452	0.3841380386
453	0.3840127106
454	0.3839188817
455	0.3838418401
456	0.3837566681
457	0.3837099889
458	0.3836009852
459	0.3835980911
460	0.3835168304
461	0.3833770676
462	0.3833271484
463	0.3832199529
464	0.3831149445
465	0.3830144908
466	0.3829113235
467	0.3827920761
468	0.3827102432
469	0.3825957972
470	0.3824887238
471	0.3823975881
472	0.3822818171
473	0.3822037633
474	0.3820942866
475	0.3819943059
476	0.3818572057
477	0.3817733383
478	0.3816960068
479	0.3816248271
480	0.3815194931
481	0.3814126714
482	0.3813133443
483	0.3812288742
484	0.3811277949
485	0.381033404
486	0.3809325536
487	0.3808425115
488	0.3807803268
489	0.3806890081
490	0.3805462875
491	0.3804310506
492	0.3803533859
493	0.3802683182
494	0.3801416245
495	0.380078064
496	0.3800272725
497	0.3799618174
498	0.3798643621
499	0.3797522558
500	0.3796682002
501	0.379562528
502	0.3794871292
503	0.3794226761
504	0.3793270442
505	0.3792590586
506	0.3791181234
507	0.3789874115
508	0.3789009043
509	0.3788268331
510	0.3787293015
511	0.3786365255
512	0.3785668818
513	0.3784730352
514	0.3783828557
515	0.3782908173
516	0.3782163162
517	0.3781124802
518	0.3779918645
519	0.3779088796
520	0.3778742167
521	0.377788559
522	0.3776987661
523	0.3776197764
524	0.3775309194
525	0.3774491247
526	0.3773682734
527	0.3773308843
528	0.3772335205
529	0.3771543147
530	0.3770649185
531	0.3770150401
532	0.376871315
533	0.3767478104
534	0.3766644516
535	0.3765839106
536	0.3764624074
537	0.3763747406
538	0.3762524185
539	0.3761766485
540	0.3761052984
541	0.3760431035
542	0.3759947306
543	0.3758871384
544	0.3758032405
545	0.3757158991
546	0.3756713079
547	0.3755498072
548	0.3754589767
549	0.3753700256
550	0.3752792562
551	0.375204862
552	0.3751352158
553	0.3750488256
554	0.3750193583
555	0.3749944814
556	0.3748618011
557	0.3747679011
558	0.3746389847
559	0.3745637741
560	0.3744915797
561	0.3744628805
562	0.3743703232
563	0.3742592392
564	0.3741835454
565	0.3741089808
566	0.3740837758
567	0.3739704692
568	0.3738847427
569	0.3738486404
570	0.373792188
571	0.3737707952
572	0.3736754379
573	0.3735983276
574	0.3735214361
575	0.3734255727
576	0.3733666229
577	0.3732858454
578	0.3731690089
579	0.3730600103
580	0.372951383
581	0.3728854955
582	0.3728217875
583	0.3727493566
584	0.3726761246
585	0.3725928752
586	0.3725032501
587	0.3724130936
588	0.3723133087
589	0.3722672958
590	0.3721886724
591	0.372112442
592	0.3720273819
593	0.3719398575
594	0.3718323695
595	0.3717353948
596	0.3716594518
597	0.3715674896
598	0.3714737345
599	0.3713726323
600	0.3712790655
601	0.3712019297
602	0.3711699422
603	0.3710731176
604	0.3709761353
605	0.3708901672
606	0.3708104121
607	0.3707124532
608	0.3706352056
609	0.3705345256
610	0.3704536107
611	0.370377917
612	0.3702947464
613	0.3701476491
614	0.3700851924
615	0.3700081406
616	0.3699378052
617	0.3698578746
618	0.3697378998
619	0.3696401672
620	0.3695613937
621	0.3694848913
622	0.3693893534
623	0.3693081741
624	0.3692059224
625	0.3690901362
626	0.3690079295
627	0.3689285533
628	0.3688255564
629	0.3687167231
630	0.3685995967
631	0.3684975917
632	0.3684092941
633	0.3683658829
634	0.3682949142
635	0.3682129059
636	0.3681379089
637	0.3680456645
638	0.3679653625
639	0.3679014282
640	0.3678105748
641	0.3677150091
642	0.3676559931
643	0.3676553294
644	0.3675789795
645	0.3675026016
646	0.3674684016
647	0.3673953171
648	0.3673079147
649	0.3672397944
650	0.3671614812
651	0.3670742722
652	0.3669968007
653	0.3669470978
654	0.3668321279
655	0.3667519073
656	0.3666673762
657	0.3665600459
658	0.3664730148
659	0.3663985621
660	0.3663177032
661	0.3661808777
662	0.3660822169
663	0.3660355225
664	0.3659476089
665	0.3658542074
666	0.3657730153
667	0.3657240473
668	0.3655846888
669	0.3655238686
670	0.36541576
671	0.3653542366
672	0.3652591044
673	0.3651740659
674	0.365091788
675	0.3650456568
676	0.3649444351
677	0.3649368299
678	0.364851443
679	0.3647532552
680	0.3646309026
681	0.3645108846
682	0.3644443423
683	0.3643395284
684	0.3642901815
685	0.3641687355
686	0.3641041501
687	0.3640129255
688	0.3639002647
689	0.3637929637
690	0.3637072372
691	0.3636473401
692	0.3635976245
693	0.363538222
694	0.3634349225
695	0.363369091
696	0.3632775917
697	0.3632000758
698	0.363083196
699	0.3630160993
700	0.3629362996
701	0.3628937429
702	0.3627916272
703	0.3627188377
704	0.3626487058
705	0.3625797017
706	0.3624929746
707	0.3624386635
708	0.3623280792
709	0.3622026609
710	0.3621265831
711	0.3620364749
712	0.3619573898
713	0.3618877068
714	0.3618333257
715	0.3617235896
716	0.361631677
717	0.3615618947
718	0.3614719391
719	0.3614151408
720	0.3613385963
721	0.3612230212
722	0.3611252632
723	0.3611220118
724	0.3610515938
725	0.3609912707
726	0.3609057592
727	0.36079798
728	0.3606654371
729	0.360567941
730	0.36050715
731	0.3603730431
732	0.3603017794
733	0.360185482
734	0.3601222153
735	0.3600649554
736	0.3600059102
737	0.3599563433
738	0.3598170776
739	0.3597001025
740	0.3596271273
741	0.3595412153
742	0.3594238141
743	0.3593294551
744	0.3591788508
745	0.3590992533
746	0.3590233192
747	0.3589359996
748	0.358834788
749	0.3587302577
750	0.3586542587
751	0.3585902252
752	0.3585569407
753	0.3584583562
754	0.3583757273
755	0.3583013166
756	0.3582351761
757	0.3581235364
758	0.3580382818
759	0.3579031881
760	0.3578466314
761	0.3577423401
762	0.3576734123
763	0.3575761719
764	0.3575111936
765	0.3574380048
766	0.3573734322
767	0.3572997093
768	0.3572250112
769	0.3571675453
770	0.3571520309
771	0.3571299286
772	0.3570618884
773	0.3569386864
774	0.3568388761
775	0.3567838097
776	0.3566980769
777	0.3565709152
778	0.3565016797
779	0.3563934441
780	0.3563405495
781	0.3562960841
782	0.3562128398
783	0.3560858994
784	0.3560020587
785	0.3558956134
786	0.3558347651
787	0.3558056691
788	0.3557066409
789	0.355569814
790	0.3554648463
791	0.3553654925
792	0.3552781766
793	0.3551872406
794	0.355071509
795	0.3549524549
796	0.3549257253
797	0.3548780174
798	0.3548127391
799	0.3547476184
800	0.3546740761
801	0.3545699132
802	0.3545201543
803	0.3545196164
804	0.3544223468
805	0.3543841985
806	0.3542913882
807	0.3542475688
808	0.3541285362
809	0.3540090014
810	0.353922863
811	0.3538273392
812	0.3537456894
813	0.3537020976
814	0.353610494
815	0.3535457052
816	0.353468853
817	0.3534137726
818	0.3533921916
819	0.3532721113
820	0.3531964518
821	0.3531293195
822	0.3530890719
823	0.3529624087
824	0.3529072062
825	0.35284832
826	0.3527837906
827	0.352641538
828	0.3525695763
829	0.3524916318
830	0.352434316
831	0.3523472417
832	0.3522975744
833	0.3522087326
834	0.352130338
835	0.3520244954
836	0.3519884936
837	0.3519109205
838	0.3518895251
839	0.3518293228
840	0.3517053617
841	0.3516338158
842	0.3515622101
843	0.3514890887
844	0.351450606
845	0.3514360835
846	0.3513615952
847	0.3513222377
848	0.3512657738
849	0.3511756439
850	0.3511041679
851	0.351010053
852	0.350969855
853	0.3509293391
854	0.3508356705
855	0.350734286
856	0.3506544774
857	0.3506004804
858	0.3505422923
859	0.3504509405
860	0.350357151
861	0.3502737109
862	0.3502423668
863	0.3501968943
864	0.3501335411
865	0.3501316325
866	0.350068044
867	0.3499428813
868	0.3498707237
869	0.3497998632
870	0.3496893756
871	0.3496401685
872	0.3495489934
873	0.3494885165
874	0.349402434
875	0.3493018061
876	0.3492133624
877	0.3491004499
878	0.3490599925
879	0.3489571813
880	0.3489019457
881	0.3489003906
882	0.3488391304
883	0.3488332787
884	0.348795695
885	0.348711263
886	0.3486257095
887	0.3485599162
888	0.3485006663
889	0.3484231326
890	0.3483916728
891	0.3482905935
892	0.3482412249
893	0.3481821314
894	0.3481064949
895	0.3480560557
896	0.3479642932
897	0.3478609912
898	0.3478017985
899	0.3477233251
900	0.3476470286
901	0.3475904617
902	0.3474743207
903	0.3474123624
904	0.3473649584
905	0.34735451
906	0.34734139
907	0.3472789179
908	0.3471880124
909	0.3470712763
910	0.347020195
911	0.3470191816
912	0.346971049
913	0.3468564593
914	0.3467879906
915	0.3467326088
916	0.3466523463
917	0.3466125234
918	0.3465595334
919	0.3465074946
920	0.3464005737
921	0.3463274028
922	0.3462482745
923	0.3461639264
924	0.3460829379
925	0.3460216751
926	0.3459646873
927	0.3459250361
928	0.3458526497
929	0.3457591705
930	0.345707756
931	0.3456298701
932	0.3456110369
933	0.3455538966
934	0.345477595
935	0.3454104856
936	0.3453215637
937	0.3452305959
938	0.345151961
939	0.3450726458
940	0.3449744504
941	0.3449433339
942	0.3448295174
943	0.3447581774
944	0.3446970367
945	0.344687631
946	0.3446060244
947	0.3445259705
948	0.344410525
949	0.344319617
950	0.3442690989
951	0.344209549
952	0.3441350212
953	0.3440621312
954	0.3439638405
955	0.3439048513
956	0.3438636996
957	0.3437912865
958	0.3436961505
959	0.3436179911
960	0.3435425199
961	0.3434645487
962	0.3433700231
963	0.3432973506
964	0.3432246602
965	0.3431612676
966	0.3430614382
967	0.3429841347
968	0.3429225057
969	0.342899264
970	0.342800073
971	0.3427151769
972	0.3426493009
973	0.342563048
974	0.3425443179
975	0.3424506785
976	0.342402607
977	0.3423040911
978	0.3422482656
979	0.3421645877
980	0.3420853271
981	0.3420093015
982	0.3419536095
983	0.3418862839
984	0.3418193728
985	0.3417432429
986	0.3416288503
987	0.3415007947
988	0.3413906072
989	0.3413265025
990	0.3412131564
991	0.3411505915
992	0.3410628916
993	0.3409824142
994	0.3409004949
995	0.3408708204
996	0.3407823067
997	0.3407338854
998	0.3406659673
999	0.3405810331
